iter	Passed	Remaining
0	1	101
1	1	64
2	1	50
3	1	42
4	2	38
5	2	35
6	2	32
7	2	31
8	2	29
9	3	28
10	3	27
11	3	26
12	3	26
13	4	25
14	4	24
15	4	24
16	4	23
17	5	23
18	5	22
19	5	22
20	5	21
21	6	21
22	6	20
23	6	20
24	6	20
25	6	19
26	7	19
27	7	19
28	7	18
29	7	18
30	8	18
31	8	17
32	8	17
33	8	17
34	9	16
35	9	16
36	9	16
37	9	15
38	9	15
39	10	15
40	10	15
41	10	14
42	10	14
43	10	13
44	11	13
45	11	13
46	11	13
47	11	12
48	12	12
49	12	12
50	12	12
51	12	11
52	13	11
53	13	11
54	13	10
55	13	10
56	13	10
57	14	10
58	14	9
59	14	9
60	14	9
61	15	9
62	15	8
63	15	8
64	15	8
65	15	8
66	16	7
67	16	7
68	16	7
69	16	7
70	17	7
71	17	6
72	17	6
73	17	6
74	18	6
75	18	5
76	18	5
77	18	5
78	19	5
79	19	4
80	19	4
81	19	4
82	20	4
83	20	3
84	20	3
85	21	3
86	21	3
87	21	2
88	21	2
89	22	2
90	22	2
91	22	1
92	22	1
93	23	1
94	23	1
95	23	0
96	23	0
97	24	0
98	24	0
99	24	0
